Date,GSPC,AAPL,ACN,ADBE,ADSK,AEO,AFL,AIZ,ALK,ALKS,AMED,AMG,AMGN,AMRC,AMZN,ANET,APPN,ARLO,ASML,ATLC,ATVI,ATW,BAMXF,BAND,BB,BBBY,BBY,BCPC,BDX,BEBE,BHC,BIIB,BJRI,BKNG,BUD,BWA,CASY,CBOE,CGNX,CLB,CLNE,CME,CMG,CMI,CNI,COST,CPRT,CRI,CRTO,CRUS,CRWD,CSTE,CSX,CTAS,CTSH,CUB,CVS,CWBHF,CX,CXW,DAKT,DAR,DASTY,DBI,DDD,DIS,DISCK,DLB,DNOW,DXCM,EA,EBAY,ECL,ENSG,EPC,ERJ,F,FB,FDX,FEYE,FHI,FICO,FTNT,FVRR,GILD,GLW,GME,GMED,GNRC,GOOG,GOOGL,GPS,GRMN,H,HA,HAIN,HAS,HCA,HEI,HGGGQ,HQY,HRC,HUBS,IART,IBKR,IDCC,IDXX,IIVI,ILMN,INTU,IRBT,IT,ITC,JBLU,JD,JEF,JKHY,JWN,KMI,KMT,KMX,LFUS,LH,LKQ,LOPE,LQDT,LUV,MA,MAR,MASI,MCK,MCO,MINI,MKC,MKL,MMM,MORN,MSM,MTCH,MTH,MTN,MYL,NATI,NBIX,NCR,NDAQ,NEWR,NFLX,NICE,NKE,NOV,NOW,NTDOY,NTGR,NTUS,NUAN,NUE,NVDA,NVO,NVTA,NXGN,NYT,ODFL,OII,OKTA,OLLI,OSPN,PAC,PAYC,PCAR,PEGA,PII,PINS,POST,PYPL,QGEN,RCL,RGP,RGS,RH,RHI,ROL,ROP,RPM,RST,SAFM,SAFT,SAM,SBUX,SCHW,SEDG,SEIC,SFIX,SHOP,SHW,SINA,SIVB,SLAB,SMG,SNPS,SPB,SQ,SQM,SSD,STMP,STRA,SWIR,T,TCS,TDC,TDG,TECH,THC,TLK,TLND,TMUS,TNC,TPR,TREX,TRIP,TSCO,TSLA,TTD,TTMI,TVTY,TWLO,TXRH,TXT,UA,UAA,UHAL,ULTA,UMPQ,UNH,UNP,URBN,VALU,VRNS,WAB,WAL,WB,WDAY,WETF,WEX,WIX,WM,WORK,WPRT,WSM,WSO,WU,XPO,ZBRA,ZM,ZNGA,ZS
12/1/2003,0.050765541,,,,,,,,,,,0.04646618,,,-0.025013933,,,,,,0.184775567,,,,,,-0.157419443,,,,,,,,,0.076835504,,,,,,,,,,0.037968089,,,,,,,,,,,,,,,,,,,,0.020000013,,,,,0.07800131,0.156020741,,,,,,,-0.070750355,,,,,,,,,,,,,,,,,,-0.037539414,,,,,,,,,,,,,,,,,,,,,,,,,,0.022979015,,,,,,,,,0.057088167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041822521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020689366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027875507,,,,,,,,,,,,,,,0.079406362,,,,,,,,,,,,,,,,,,,,,,
1/2/2004,0.017276387,,,,,,,,,,,0.218565809,,,-0.042189225,,,,,,0.037891308,,,,,,-0.033511125,,,,,,,,,0.095118675,,,,,,,,,,-0.006455463,,,,,,,,,,,,,,,-0.090656285,,,,,0.028718393,,,,,-0.01719797,0.035907633,,,,,,,-0.003259164,,,,,,,,,,,,,,,,,,-0.070516485,,,,,,,,,,,,,,,,,,,,,,,,,,0.155615693,,,,,,,,,0.055160995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270464302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063345015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020273828,,,,,,,,,,,,,,,0.046407455,,,,,,,,,,,,,,,,,,,,,,
2/2/2004,0.012208973,,,,,,,,,,,-0.003537643,,,-0.146627058,,,,,,0.111640256,,,,,,0.056756547,,,,,,,,,-0.029272527,,,,,,,,,,0.051976497,,,,,,,,,,,,,,,0.029733648,,,,,0.105416421,,,,,0.006402075,0.026445616,,,,,,,0.020809184,,,,,,,,,,,,,,,,,,0.107341629,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08220145,,,,,,,,,0.047677392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.204766479,,,,,,,,,,,,,,,,,,0.001416782,,,,,,,,,,,-0.026787616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.093419355,,,,,,,,,,,,,,,0.018397237,,,,,,,,,,,,,,,,,,,,,,
3/1/2004,-0.016358919,,,,,,,,,,,-0.031124333,,,0.006277633,,,,,,0.129462065,,,,,,-0.028732386,,,,,,,,,-0.059534659,,,,,,,,,,-0.032166817,,,,,,,,,,,,,,,-0.041613865,,,,,-0.058047395,,,,,0.139525022,0.008442529,,,,,,,0.095302374,,,,,,,,,,,,,,,,,,-0.005487165,,,,,,,,,,,,,,,,,0.060924389,,,,,,,,,0.001531028,,,,,,,,,0.058928867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008435651,,,,,,,,,,,,,,,,,,0.028227618,,,,,,,,,,,-0.051470786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029035013,,,,,,,,,,,,,,,0.039847637,,,,,,,,,,,,,,,,,,,,,,
4/1/2004,-0.016790752,,,,,,,,,,,-0.107731718,,,0.007393692,,,,,,-0.047408334,,,,,,0.05090038,,,,,,,,,-0.031240228,,,,,,,,,,-0.002925049,,,,,,,,,,,,,,,-0.059370857,,,,,-0.078431575,,,,,-0.058057328,0.155167445,,,,,,,-0.043241071,,,,,,,,,,,,,0.004106332,,,,,-0.128801131,,,,,,,,,,,,,,,,,0.097029679,,,,,,,,,0.012484127,,,,,,,,,-0.088842047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05348943,,,,,,,,,,,,,,,,,,-0.022951966,,,,,,,,,,,-0.113695031,,,,,,,,,,,,,,,,,,0.027339588,,,,,,,,,,,0.134857813,,,,,,,,,,,,,,,-0.045933976,,,,,,,,,,,,,,,,,,,,,,
5/3/2004,0.01208345,,,,,,,,,,,0.001026672,,,0.112385372,,,,,,0.04976774,,,,,,-0.02746539,,,,,,,,,0.011472108,,,,,,,,,,0.013376102,,,,,,,,,,,,,,,0.10174249,,,,,0.019105608,,,,,0.004148567,0.109584057,,,,,,,0.023223545,,,,,,,,,,,,,0.098365144,,,,,0.040762316,,,,,,,,,,,,,,,,,0.040433176,,,,,,,,,0.040764945,,,,,,,,,0.014838256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086511557,,,,,,,,,,,,,,,,,,0.004886138,,,,,,,,,,,-0.045764302,,,,,,,,,,,,,,,,,,-0.048192937,,,,,,,,,,,-0.061482821,,,,,,,,,,,,,,,0.061320918,,,,,,,,,,,,,,,,,,,,,,
6/1/2004,0.017988999,,,,,,,,,,,0.033230694,,,0.121649526,,,,,,0.005056983,,,,,,-0.038286914,,,,,,,0.027862556,,0.056225863,,,,,,,,,,0.0865433,,,,,,,,,,,,,,,0.066695451,,,,,0.086067232,,,,,0.073185112,0.035472784,,,,,,,0.111247283,,,,,,,,,,,,,0.004141082,,,,,-0.033570854,,,,,,,,,,,,,,,,,0.019430934,,,,,,,,,-0.040135396,,,,,,,,,-0.011163649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0507281,,,,,,,,,,,,,,,,,,0.022940619,,,,,,,,,,,-0.01938804,,,,,,,,,,,,,,,,,,0.023206388,,,,,,,,,,,0.039086155,,,,,,,,,,,,,,,-0.045977489,,,,,,,,,,,,,,,,,,,,,,
7/1/2004,-0.034290519,,,,,,,,,,,-0.088544744,,,-0.284558887,,,,,,-0.078616412,,,,,,-0.048934919,,,,,,,-0.120683253,,0.081142228,,,,,,,,,,-0.008997324,,,,,,,,,,,,,,,0.038076199,,,,,-0.094154382,,,,,-0.081026596,-0.148123876,,,,,,,0.002325747,,,,,,,,,,,,,-0.063917625,,,,,-0.040548214,,,,,,,-0.104054437,,,,,,,,,,-0.189584741,,,,,,,,,-0.01360204,,,,,,,,,0.053201145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027296709,,,,,,,,,,,,,,,,,,-0.076922826,,,,,,,,,,,-0.08636813,,,,,,,,,,,,,,,,,,0.058659102,,,,,,,,,,,0.181456954,,,,,,,,,,,,,,,0.010441839,,,,,,,,,,,,,,,,,,,,,,
8/2/2004,0.00228735,,,,,,,,,,,0.068394642,,,-0.020041085,,,,,,-0.017747494,,,,,,-0.034052949,,,,,,,-0.118243285,,-0.051917628,,,,,,,,,,0.011299581,,,,,,,,,,,,,,,-0.098841468,,,,,-0.027717903,,,,,-0.006981822,0.104812947,,,,,,,0.001343998,,,,,,,,,,,,,-0.173496764,,,,,0.019812601,,,,,,,-0.054746835,,,,,,,,,,0.001679987,,,,,,,,,0.062053115,,,,,,,,,0.007878943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00230415,,,,,,,,,,,,,,,,,,-0.005587777,,,,,,,,,,,0.078781057,,,,,,-0.264996471,,,,,,,,,,,,0.017758414,,,,,,,,,,,-0.028251121,,,,,,,,,,,,,,,0.051351446,,,,,,,,,,,,,,,,,,,,,,
9/1/2004,0.009363876,,,,,,,,,,,0.091539302,,,0.071316258,,,,,,-0.036136041,,,,,,0.165949809,,,,,,,0.06178166,,-0.032409367,,,,,,,,,,0.008258471,,,,,,,,,,,,,,,0.047557367,,,,,0.004454551,,,,,-0.076134962,0.062398822,,,,,,,0.045997009,,,,,,,,,,,,,-0.004802329,,,,,0.014571036,,,,,,,0.07499163,,,,,,,,,,-0.122851132,,,,,,,,,0.051214258,,,,,,,,,0.068407196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060243839,,,,,,,,,,,,,,,,,,-0.016385372,,,,,,,,,,,-0.027513153,,,,,,0.223715795,,0.0091491,,,,,,,,,,0.006203853,,,,,,,,,,,0.021688971,,,,,,,,,,,,,,,0.115076545,,,,,,,,,,,,,,,,,,,,,,
